 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00500 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 35.000000
Coef. de Esparcimiento: 450.000000
Coef. de Anisotropia: 0.800000
Indice de Refracción: 1.330000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.00250 	 1.367e+04 	 1.434e+02 	 1.968e+00 
0.00750 	 1.542e+03 	 2.363e+01 	 1.441e+00 
0.01249 	 4.880e+02 	 1.012e+01 	 9.276e-01 
0.01749 	 1.992e+02 	 4.981e+00 	 5.648e-01 
0.02249 	 9.093e+01 	 2.588e+00 	 3.361e-01 
0.02749 	 4.349e+01 	 1.374e+00 	 1.996e-01 
0.03248 	 2.149e+01 	 7.439e-01 	 1.175e-01 
0.03748 	 1.096e+01 	 4.130e-01 	 6.780e-02 
0.04248 	 5.694e+00 	 2.265e-01 	 3.986e-02 
0.04748 	 2.967e+00 	 1.259e-01 	 2.314e-02 
0.05247 	 1.573e+00 	 7.077e-02 	 1.350e-02 
0.05747 	 8.541e-01 	 3.984e-02 	 7.820e-03 
0.06247 	 4.588e-01 	 2.258e-02 	 4.566e-03 
0.06747 	 2.485e-01 	 1.293e-02 	 2.622e-03 
0.07246 	 1.349e-01 	 7.519e-03 	 1.565e-03 
0.07746 	 7.483e-02 	 4.254e-03 	 9.136e-04 
0.08246 	 4.123e-02 	 2.373e-03 	 5.297e-04 
0.08746 	 2.292e-02 	 1.377e-03 	 3.095e-04 
0.09245 	 1.289e-02 	 7.500e-04 	 1.900e-04 
0.09745 	 6.959e-03 	 4.493e-04 	 1.105e-04 
0.10245 	 3.771e-03 	 2.605e-04 	 6.672e-05 
0.10745 	 2.222e-03 	 1.390e-04 	 4.883e-05 
0.11244 	 1.191e-03 	 8.691e-05 	 3.250e-05 
0.11744 	 7.101e-04 	 6.850e-05 	 1.588e-05 
0.12244 	 4.545e-04 	 3.244e-05 	 5.689e-06 
0.12744 	 2.496e-04 	 1.743e-05 	 1.951e-06 
0.13243 	 1.709e-04 	 8.992e-06 	 1.142e-06 
0.13743 	 9.741e-05 	 4.355e-06 	 3.787e-06 
0.14243 	 3.513e-05 	 3.378e-06 	 1.544e-06 
0.14743 	 1.266e-05 	 4.166e-07 	 6.438e-07 
0.15242 	 8.546e-06 	 2.567e-07 	 1.579e-07 
0.15742 	 3.510e-06 	 4.242e-08 	 0.000e+00 
0.16242 	 1.597e-06 	 0.000e+00 	 8.718e-08 
0.16742 	 6.444e-07 	 0.000e+00 	 0.000e+00 
0.17241 	 1.255e-07 	 0.000e+00 	 0.000e+00 
0.17741 	 1.100e-07 	 0.000e+00 	 0.000e+00 
0.18241 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.18741 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.19240 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.19740 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.20240 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.20740 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.21239 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.21739 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.22239 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.22739 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.23238 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.23738 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.24238 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.24738 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.25237 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.25737 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.26237 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.26737 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.27236 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.27736 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.28236 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.28736 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.29235 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.29735 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.30235 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.30735 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.31234 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.31734 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.32234 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.32734 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.33233 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.33733 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.34233 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.34733 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.35232 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.35732 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.36232 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.36732 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.37231 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.37731 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.38231 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.38731 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.39230 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.39730 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.40230 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.40730 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.41229 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.41729 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.42229 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.42729 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.43228 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.43728 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.44228 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.44728 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.45227 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.45727 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.46227 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.46727 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.47226 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.47726 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.48226 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.48726 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.49225 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.49725 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.50225 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.50725 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.51224 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.51724 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.52224 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.52724 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.53223 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.53723 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.54223 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.54723 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.55222 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.55722 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.56222 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.56722 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.57221 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.57721 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.58221 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.58721 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.59220 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.59720 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.60220 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.60720 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.61219 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.61719 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.62219 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.62719 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.63218 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.63718 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.64218 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.64718 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.65217 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.65717 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.66217 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.66717 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.67216 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.67716 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.68216 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.68716 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.69215 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.69715 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.70215 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.70715 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.71214 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.71714 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.72214 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.72714 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.73213 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.73713 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.74213 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.74713 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.75212 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.75712 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.76212 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.76712 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.77211 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.77711 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.78211 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.78711 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.79210 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.79710 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.80210 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.80710 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.81209 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.81709 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.82209 	 0.000e+00 	 0.000e+00 	 0.000e+00 
