5.000e-01	mua, coeficiente de absorcion [1/cm]
20.0000	mus, coeficiente de esparcimiento [1/cm]
0.7500	g, anisotropia [-]
1.3800	n1, indice de refracción del tejido
1.3300	n2, indice de refracción del medio externo
2	Fuente
0.1000	radius, radio del haz plano o radio 1/e del haz Gaussiano [cm]
0.0000	waist, ancho de 1/e del foco [cm]
0.0000	xs, posicion en x de la fuente isotropica [cm]
0.0000	ys, posicion y
0.5000	zs, posicion z
45	NR
45	NZ
0.05000	dr
0.05000	dz
1.0e+06	Nfotones
0.000000e+00	Specular reflectance
9.196639e-01	Absorbed fraction
8.033609e-02	Escaping fraction
0.0	0.03333	0.07778	0.12667	0.17619	0.22593	0.27576	0.32564	0.37556	0.42549	0.47544	0.52540	0.57536	0.62533	0.67531	0.72529	0.77527	0.82525	0.87524	0.92523	0.97521	1.02520	1.07519	1.12519	1.17518	1.22517	1.27516	1.32516	1.37515	1.42515	1.47514	1.52514	1.57513	1.62513	1.67512	1.72512	1.77512	1.82511	1.87511	1.92511	1.97511	2.02510	2.07510	2.12510	2.17510	2.22509
0.0	3.100041469300e-06	3.100041469300e-06	2.399734174519e-06	1.906374845505e-06	1.468677983116e-06	8.862725940410e-07	8.862725940410e-07	6.945057813762e-07	5.436227895878e-07	4.206362502137e-07	3.238035550191e-07	2.001986095091e-07	2.001986095091e-07	1.238456654052e-07	1.238456654052e-07	9.291637768777e-08	5.758597434803e-08	5.758597434803e-08	4.798649056506e-08	3.576874432150e-08	2.659482351107e-08	1.672588044446e-08	1.401127550565e-08	1.010046976360e-08	1.010046976360e-08	8.445928893737e-09	6.501425191462e-09	3.981129273070e-09	3.954895102074e-09	3.954895102074e-09	2.135619945227e-09	2.135619945227e-09	1.444647432394e-09	5.321594445465e-09	5.321594445465e-09	5.321594445465e-09	5.321594445465e-09	5.321594445465e-09	5.321594445465e-09	5.321594445465e-09	5.321594445465e-09	5.321594445465e-09	5.321594445465e-09	5.321594445465e-09	5.321594445465e-09
0.02500	 8.073299e-06	 8.073299e-06	 6.453735e-06	 4.889687e-06	 4.049719e-06	 2.452442e-06	 2.452442e-06	 1.925113e-06	 1.547411e-06	 1.232089e-06	 9.178877e-07	 5.630486e-07	 5.630486e-07	 3.482072e-07	 3.482072e-07	 2.840541e-07	 1.766508e-07	 1.766508e-07	 1.503211e-07	 1.030205e-07	 8.644237e-08	 5.185874e-08	 4.071169e-08	 3.506049e-08	 3.506049e-08	 2.997511e-08	 1.989115e-08	 1.363061e-08	 1.083438e-08	 1.083438e-08	 6.231225e-09	 6.231225e-09	 4.276519e-09	 1.885146e-08	 1.885146e-08	 1.885146e-08	 1.885146e-08	 1.885146e-08	 1.885146e-08	 1.885146e-08	 1.885146e-08	 1.885146e-08	 1.885146e-08	 1.885146e-08	 1.885146e-08
0.07500	 1.073729e-05	 1.073729e-05	 8.269237e-06	 6.690336e-06	 5.150115e-06	 3.172400e-06	 3.172400e-06	 2.465442e-06	 2.006210e-06	 1.535738e-06	 1.187748e-06	 7.253264e-07	 7.253264e-07	 4.434541e-07	 4.434541e-07	 3.515538e-07	 2.402468e-07	 2.402468e-07	 1.749331e-07	 1.403387e-07	 1.082273e-07	 6.577840e-08	 5.091452e-08	 4.378718e-08	 4.378718e-08	 3.099945e-08	 2.434291e-08	 1.795720e-08	 1.185805e-08	 1.185805e-08	 1.082607e-08	 1.082607e-08	 6.032401e-09	 2.200076e-08	 2.200076e-08	 2.200076e-08	 2.200076e-08	 2.200076e-08	 2.200076e-08	 2.200076e-08	 2.200076e-08	 2.200076e-08	 2.200076e-08	 2.200076e-08	 2.200076e-08
0.12500	 1.354830e-05	 1.354830e-05	 1.037306e-05	 8.218967e-06	 6.383498e-06	 3.906789e-06	 3.906789e-06	 3.041765e-06	 2.360923e-06	 1.825165e-06	 1.424051e-06	 9.105460e-07	 9.105460e-07	 5.447712e-07	 5.447712e-07	 4.230275e-07	 2.674608e-07	 2.674608e-07	 2.122049e-07	 1.681468e-07	 1.317466e-07	 7.526684e-08	 5.793851e-08	 5.037282e-08	 5.037282e-08	 3.731222e-08	 2.969006e-08	 1.927772e-08	 1.589127e-08	 1.589127e-08	 9.178374e-09	 9.178374e-09	 8.161051e-09	 2.436525e-08	 2.436525e-08	 2.436525e-08	 2.436525e-08	 2.436525e-08	 2.436525e-08	 2.436525e-08	 2.436525e-08	 2.436525e-08	 2.436525e-08	 2.436525e-08	 2.436525e-08
0.17500	 1.629237e-05	 1.629237e-05	 1.252268e-05	 9.824784e-06	 7.701477e-06	 4.505180e-06	 4.505180e-06	 3.585568e-06	 2.798678e-06	 2.123175e-06	 1.760422e-06	 1.038852e-06	 1.038852e-06	 6.592869e-07	 6.592869e-07	 4.743549e-07	 2.953541e-07	 2.953541e-07	 2.384796e-07	 1.896213e-07	 1.555188e-07	 9.218674e-08	 7.109595e-08	 5.281621e-08	 5.281621e-08	 4.388949e-08	 3.312047e-08	 1.932984e-08	 1.489314e-08	 1.489314e-08	 1.143198e-08	 1.143198e-08	 8.620790e-09	 3.242443e-08	 3.242443e-08	 3.242443e-08	 3.242443e-08	 3.242443e-08	 3.242443e-08	 3.242443e-08	 3.242443e-08	 3.242443e-08	 3.242443e-08	 3.242443e-08	 3.242443e-08
0.22500	 1.949720e-05	 1.949720e-05	 1.464668e-05	 1.132755e-05	 8.692083e-06	 5.210189e-06	 5.210189e-06	 4.025469e-06	 3.193374e-06	 2.335114e-06	 1.881679e-06	 1.163276e-06	 1.163276e-06	 7.129068e-07	 7.129068e-07	 5.804000e-07	 3.382746e-07	 3.382746e-07	 2.651931e-07	 2.042330e-07	 1.628819e-07	 1.009326e-07	 7.894251e-08	 6.425946e-08	 6.425946e-08	 5.398702e-08	 4.100205e-08	 2.356784e-08	 1.756284e-08	 1.756284e-08	 1.022852e-08	 1.022852e-08	 1.022362e-08	 3.611448e-08	 3.611448e-08	 3.611448e-08	 3.611448e-08	 3.611448e-08	 3.611448e-08	 3.611448e-08	 3.611448e-08	 3.611448e-08	 3.611448e-08	 3.611448e-08	 3.611448e-08
0.27500	 2.209915e-05	 2.209915e-05	 1.674285e-05	 1.293383e-05	 9.873698e-06	 5.790024e-06	 5.790024e-06	 4.511263e-06	 3.468089e-06	 2.723865e-06	 2.076030e-06	 1.272864e-06	 1.272864e-06	 7.781296e-07	 7.781296e-07	 6.158912e-07	 3.643127e-07	 3.643127e-07	 2.896845e-07	 2.250264e-07	 1.733141e-07	 1.135878e-07	 8.339285e-08	 6.944554e-08	 6.944554e-08	 5.592629e-08	 4.280437e-08	 2.802098e-08	 1.946234e-08	 1.946234e-08	 1.296038e-08	 1.296038e-08	 1.110117e-08	 3.625842e-08	 3.625842e-08	 3.625842e-08	 3.625842e-08	 3.625842e-08	 3.625842e-08	 3.625842e-08	 3.625842e-08	 3.625842e-08	 3.625842e-08	 3.625842e-08	 3.625842e-08
0.32500	 2.419655e-05	 2.419655e-05	 1.813956e-05	 1.394921e-05	 1.081702e-05	 6.445446e-06	 6.445446e-06	 4.818710e-06	 3.765399e-06	 2.934623e-06	 2.217152e-06	 1.352888e-06	 1.352888e-06	 8.171567e-07	 8.171567e-07	 6.624030e-07	 4.037647e-07	 4.037647e-07	 3.088524e-07	 2.557784e-07	 1.846932e-07	 1.244806e-07	 9.130737e-08	 7.326877e-08	 7.326877e-08	 5.582151e-08	 4.364401e-08	 2.314107e-08	 2.342879e-08	 2.342879e-08	 1.403415e-08	 1.403415e-08	 1.159018e-08	 3.825382e-08	 3.825382e-08	 3.825382e-08	 3.825382e-08	 3.825382e-08	 3.825382e-08	 3.825382e-08	 3.825382e-08	 3.825382e-08	 3.825382e-08	 3.825382e-08	 3.825382e-08
0.37500	 2.636796e-05	 2.636796e-05	 1.979055e-05	 1.526972e-05	 1.145772e-05	 6.764797e-06	 6.764797e-06	 5.213984e-06	 4.034738e-06	 3.020466e-06	 2.376761e-06	 1.455625e-06	 1.455625e-06	 8.773649e-07	 8.773649e-07	 6.771852e-07	 4.029808e-07	 4.029808e-07	 3.391950e-07	 2.634807e-07	 2.027304e-07	 1.257457e-07	 9.735518e-08	 8.273684e-08	 8.273684e-08	 6.168363e-08	 4.591846e-08	 2.658308e-08	 2.407578e-08	 2.407578e-08	 1.485326e-08	 1.485326e-08	 1.239000e-08	 4.065421e-08	 4.065421e-08	 4.065421e-08	 4.065421e-08	 4.065421e-08	 4.065421e-08	 4.065421e-08	 4.065421e-08	 4.065421e-08	 4.065421e-08	 4.065421e-08	 4.065421e-08
