number of photons = 1000.000000
dr = 0.06000 [cm] 
last row is overflow. Ignore last row.
Output is fluence rate F [W/(cm2 s)].
r [cm] 	 0.050 ns 	 0.100 ns 	 0.500 ns 	 1.000 ns
0.0300	6.643e+10	6.643e+10	0.000e+00	0.000e+00
0.0900	5.905e+10	7.382e+09	7.382e+09	0.000e+00
0.1500	5.713e+10	2.525e+10	1.329e+09	0.000e+00
0.2100	5.694e+10	1.966e+10	2.712e+09	6.779e+08
0.2700	3.773e+10	1.476e+10	2.050e+09	0.000e+00
0.3300	3.349e+10	1.537e+10	2.471e+09	2.745e+08
0.3900	2.948e+10	1.946e+10	2.555e+09	3.931e+08
0.4500	1.978e+10	1.329e+10	1.624e+09	5.905e+08
0.5100	1.575e+10	1.092e+10	1.379e+09	5.747e+08
0.5700	8.557e+09	7.177e+09	1.932e+09	9.201e+08
0.6300	3.917e+09	7.608e+09	1.280e+09	5.273e+08
0.6900	2.261e+09	4.835e+09	1.570e+09	8.791e+08
0.7500	1.329e+09	3.986e+09	1.488e+09	1.010e+09
0.8100	5.468e+08	2.734e+09	1.504e+09	7.746e+08
0.8700	3.950e+07	1.540e+09	8.689e+08	5.925e+08
0.9300	3.457e+07	1.625e+09	1.279e+09	6.913e+08
0.9900	0.000e+00	1.281e+09	1.068e+09	2.745e+08
1.0500	0.000e+00	4.339e+08	1.030e+09	5.423e+08
1.1100	0.000e+00	2.912e+08	1.043e+09	5.581e+08
1.1700	0.000e+00	2.839e+08	1.136e+09	5.897e+08
1.2300	0.000e+00	1.186e+08	5.731e+08	4.743e+08
1.2900	0.000e+00	5.390e+07	8.084e+08	5.749e+08
1.3500	0.000e+00	3.281e+07	7.218e+08	3.773e+08
1.4100	0.000e+00	1.504e+07	6.466e+08	3.609e+08
1.4700	0.000e+00	0.000e+00	5.534e+08	3.044e+08
1.5300	0.000e+00	0.000e+00	3.704e+08	3.065e+08
1.5900	0.000e+00	0.000e+00	4.494e+08	4.612e+08
1.6500	0.000e+00	0.000e+00	4.283e+08	2.965e+08
1.7100	0.000e+00	0.000e+00	2.965e+08	3.374e+08
1.7700	0.000e+00	0.000e+00	3.149e+08	1.813e+08
1.8300	0.000e+00	0.000e+00	2.142e+08	2.410e+08
1.8900	0.000e+00	0.000e+00	2.176e+08	2.092e+08
1.9500	0.000e+00	0.000e+00	2.044e+08	2.516e+08
2.0100	0.000e+00	0.000e+00	1.702e+08	1.776e+08
2.0700	0.000e+00	0.000e+00	6.977e+07	1.744e+08
2.1300	0.000e+00	0.000e+00	9.884e+07	1.911e+08
2.1900	0.000e+00	0.000e+00	9.350e+07	1.683e+08
2.2500	0.000e+00	0.000e+00	1.299e+08	1.713e+08
2.3100	0.000e+00	0.000e+00	3.362e+07	1.401e+08
2.3700	0.000e+00	0.000e+00	4.790e+07	1.331e+08
2.4300	0.000e+00	0.000e+00	4.050e+07	1.114e+08
2.4900	0.000e+00	0.000e+00	4.340e+07	1.061e+08
2.5500	0.000e+00	0.000e+00	3.218e+07	1.149e+08
2.6100	0.000e+00	0.000e+00	1.317e+07	5.705e+07
2.6700	0.000e+00	0.000e+00	1.258e+07	8.807e+07
2.7300	0.000e+00	0.000e+00	8.023e+06	5.215e+07
2.7900	0.000e+00	0.000e+00	1.536e+07	3.841e+07
2.8500	0.000e+00	0.000e+00	3.681e+06	6.993e+07
2.9100	0.000e+00	0.000e+00	3.530e+06	3.530e+07
2.9700	0.000e+00	0.000e+00	0.000e+00	2.372e+07
3.0300	0.000e+00	0.000e+00	0.000e+00	2.931e+07
3.0900	0.000e+00	0.000e+00	3.131e+06	3.757e+07
3.1500	0.000e+00	0.000e+00	9.039e+06	2.712e+07
3.2100	0.000e+00	0.000e+00	2.901e+06	2.321e+07
3.2700	0.000e+00	0.000e+00	2.796e+06	3.355e+07
3.3300	0.000e+00	0.000e+00	0.000e+00	1.078e+07
3.3900	0.000e+00	0.000e+00	2.601e+06	1.561e+07
3.4500	0.000e+00	0.000e+00	0.000e+00	1.005e+07
3.5100	0.000e+00	0.000e+00	0.000e+00	2.184e+07
